0;100000;0,00446;446;99611;7396267;73,96
1;99554;0,00028;28;99540;7296656;73,29
2;99526;0,00019;19;99516;7197117;72,31
3;99506;0,00013;13;99500;7097601;71,33
4;99493;0,00010;10;99488;6998101;70,34
5;99482;0,00009;9;99478;6898614;69,35
6;99473;0,00009;9;99469;6799136;68,35
7;99464;0,00009;9;99460;6699667;67,36
8;99455;0,00009;9;99450;6600207;66,36
9;99446;0,00009;9;99441;6500757;65,37
10;99436;0,00010;10;99432;6401316;64,38
11;99427;0,00010;10;99422;6301884;63,38
12;99417;0,00011;11;99411;6202462;62,39
13;99405;0,00013;13;99399;6103051;61,40
14;99392;0,00017;16;99384;6003653;60,40
15;99376;0,00022;22;99365;5904268;59,41
16;99354;0,00032;32;99338;5804904;58,43
17;99322;0,00045;45;99299;5705566;57,45
18;99277;0,00059;58;99248;5606267;56,47
19;99219;0,00071;71;99183;5507019;55,50
20;99148;0,00080;79;99108;5407835;54,54
21;99069;0,00085;84;99027;5308727;53,59
22;98985;0,00088;87;98941;5209700;52,63
23;98898;0,00090;89;98853;5110759;51,68
24;98809;0,00093;92;98763;5011906;50,72
25;98716;0,00097;96;98668;4913143;49,77
26;98621;0,00101;100;98571;4814475;48,82
27;98521;0,00105;103;98469;4715904;47,87
28;98417;0,00109;107;98364;4617435;46,92
29;98310;0,00114;113;98254;4519071;45,97
30;98197;0,00121;119;98138;4420817;45,02
31;98079;0,00128;126;98016;4322679;44,07
32;97953;0,00136;133;97887;4224663;43,13
33;97820;0,00145;142;97749;4126777;42,19
34;97679;0,00154;151;97603;4029027;41,25
35;97528;0,00165;161;97447;3931424;40,31
36;97367;0,00177;172;97281;3833977;39,38
37;97195;0,00191;185;97102;3736696;38,45
38;97009;0,00207;200;96909;3639594;37,52
39;96809;0,00225;218;96700;3542684;36,59
40;96591;0,00246;238;96473;3445984;35,68
41;96354;0,00270;261;96223;3349512;34,76
42;96093;0,00298;286;95950;3253288;33,86
43;95807;0,00329;315;95649;3157338;32,96
44;95491;0,00364;347;95318;3061689;32,06
45;95144;0,00402;382;94953;2966372;31,18
46;94761;0,00444;421;94551;2871419;30,30
47;94341;0,00490;462;94109;2776868;29,43
48;93878;0,00541;508;93624;2682758;28,58
49;93371;0,00596;557;93092;2589134;27,73
50;92814;0,00657;610;92509;2496041;26,89
51;92205;0,00724;667;91871;2403532;26,07
52;91537;0,00797;730;91173;2311661;25,25
53;90808;0,00877;796;90410;2220489;24,45
54;90011;0,00964;868;89577;2130079;23,66
55;89143;0,01059;944;88671;2040502;22,89
56;88199;0,01161;1024;87688;1951830;22,13
57;87176;0,01270;1107;86622;1864143;21,38
58;86069;0,01386;1193;85472;1777521;20,65
59;84876;0,01509;1281;84235;1692049;19,94
60;83594;0,01640;1371;82909;1607813;19,23
61;82224;0,01778;1462;81493;1524904;18,55
62;80762;0,01922;1552;79986;1443412;17,87
63;79210;0,02073;1642;78389;1363426;17,21
64;77568;0,02231;1730;76703;1285037;16,57
65;75837;0,02394;1816;74929;1208334;15,93
66;74022;0,02565;1898;73072;1133405;15,31
67;72123;0,02741;1977;71135;1060333;14,70
68;70146;0,02926;2052;69120;989198;14,10
69;68094;0,03121;2125;67031;920078;13,51
70;65969;0,03329;2196;64871;853047;12,93
71;63773;0,03555;2267;62639;788176;12,36
72;61506;0,03806;2341;60335;725537;11,80
73;59165;0,04086;2418;57956;665201;11,24
74;56747;0,04404;2499;55498;607245;10,70
75;54248;0,04765;2585;52956;551748;10,17
76;51663;0,05174;2673;50326;498792;9,65
77;48990;0,05635;2760;47610;448466;9,15
78;46229;0,06148;2842;44808;400856;8,67
79;43387;0,06715;2913;41930;356048;8,21
80;40474;0,07332;2968;38990;314117;7,76
81;37506;0,07999;3000;36006;275127;7,34
82;34506;0,08713;3007;33003;239121;6,93
83;31499;0,09474;2984;30007;206119;6,54
84;28515;0,10280;2931;27049;176111;6,18
85;25584;0,11135;2849;24159;149062;5,83
86;22735;0,12041;2738;21366;124903;5,49
87;19998;0,13001;2600;18698;103536;5,18
88;17398;0,14024;2440;16178;84839;4,88
89;14958;0,15116;2261;13827;68661;4,59
90;12697;0,16272;2066;11664;54834;4,32
91;10631;0,17525;1863;9699;43170;4,06
92;8768;0,18851;1653;7941;33471;3,82
93;7115;0,20250;1441;6395;25530;3,59
94;5674;0,21722;1233;5058;19135;3,37
95;4442;0,23268;1033;3925;14077;3,17
96;3408;0,24886;848;2984;10152;2,98
97;2560;0,26575;680;2220;7168;2,80
98;1880;0,28334;533;1613;4948;2,63
99;1347;0,30162;406;1144;3335;2,48
100;941;0,32054;302;790;2191;2,33
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
